нуYPredicted,Var2
17.59886,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31015.jpg
12.55569,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31059.jpg
7.577328,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31105.jpg
13.23542,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31150.jpg
24.16522,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31166.jpg
9.447229,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31230.jpg
16.36388,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31375.jpg
7.198694,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31400.jpg
17.20461,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31409.jpg
24.73172,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31430.jpg
16.15643,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31513.jpg
9.96697,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31585.jpg
10.45879,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31704.jpg
21.9849,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31711.jpg
19.50032,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31774.jpg
14.4874,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31851.jpg
14.12889,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31880.jpg
10.33265,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31894.jpg
17.75644,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\31981.jpg
11.47499,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32058.jpg
16.70325,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32065.jpg
16.57554,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32069.jpg
15.60307,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32106.jpg
10.06753,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32123.jpg
18.90356,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32365.jpg
11.35473,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32371.jpg
14.73344,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32482.jpg
10.22098,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32551.jpg
9.617244,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32599.jpg
18.55791,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32735.jpg
8.369833,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32758.jpg
14.17808,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32814.jpg
9.454135,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32849.jpg
13.54202,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32861.jpg
10.38702,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\32922.jpg
24.49807,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33023.jpg
11.31192,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33113.jpg
14.48917,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33136.jpg
11.41163,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33178.jpg
9.156499,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33287.jpg
14.76664,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33295.jpg
11.65715,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33325.jpg
14.61608,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33412.jpg
11.38997,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33482.jpg
16.47175,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33579.jpg
16.61561,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33706.jpg
12.26511,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33827.jpg
18.10361,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33853.jpg
8.683719,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\33893.jpg
17.83842,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34128.jpg
17.1203,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34189.jpg
11.10227,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34384.jpg
9.502268,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34400.jpg
30.33092,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34478.jpg
12.62062,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34494.jpg
16.53196,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34499.jpg
9.693834,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34500.jpg
14.44099,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34579.jpg
10.15145,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34669.jpg
21.6461,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34685.jpg
8.280003,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34765.jpg
9.206765,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\34973.jpg
10.8539,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35005.jpg
11.41146,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35061.jpg
10.86729,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35222.jpg
9.649741,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35226.jpg
15.19602,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35240.jpg
12.85629,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35250.jpg
10.76374,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35290.jpg
18.2585,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35319.jpg
18.17183,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35441.jpg
27.59149,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35495.jpg
14.57884,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35513.jpg
12.69155,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35723.jpg
12.5578,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35725.jpg
11.52196,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35760.jpg
13.63913,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35863.jpg
8.344831,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\35947.jpg
20.54365,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36031.jpg
20.98636,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36042.jpg
14.70859,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36167.jpg
13.88081,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36229.jpg
14.03177,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36296.jpg
17.84328,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36315.jpg
16.10618,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36343.jpg
14.69447,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36382.jpg
12.42046,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36459.jpg
10.77423,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36477.jpg
20.21835,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36610.jpg
17.50647,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36714.jpg
9.137668,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36872.jpg
22.03025,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36897.jpg
17.80886,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36938.jpg
17.67644,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36954.jpg
18.81467,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\36972.jpg
18.23474,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37002.jpg
15.66783,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37121.jpg
13.25718,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37167.jpg
8.71791,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37257.jpg
11.45799,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37291.jpg
21.38257,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37304.jpg
16.75797,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37332.jpg
16.96081,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37346.jpg
14.66739,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37351.jpg
10.07891,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37402.jpg
14.1369,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37414.jpg
18.78897,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37438.jpg
10.29811,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37444.jpg
10.6915,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37487.jpg
16.37482,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37599.jpg
13.79913,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37611.jpg
13.00385,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37694.jpg
12.17279,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37720.jpg
9.300043,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37814.jpg
14.19941,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\37837.jpg
7.863364,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\38362.jpg
10.34634,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\38561.jpg
8.687568,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\38584.jpg
17.81356,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\38636.jpg
10.71143,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\38678.jpg
13.35732,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\38687.jpg
12.25696,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\38822.jpg
10.07267,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\38882.jpg
16.03754,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\38915.jpg
20.47086,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39086.jpg
11.89187,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39179.jpg
11.65686,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39181.jpg
13.68777,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39189.jpg
19.84743,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39217.jpg
18.23562,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39315.jpg
10.73058,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39449.jpg
12.06936,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39546.jpg
10.87977,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39618.jpg
11.57836,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39644.jpg
15.37337,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39652.jpg
16.19438,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39657.jpg
7.144721,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39783.jpg
11.42819,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39785.jpg
16.09659,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\39788.jpg
11.0808,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40019.jpg
18.84465,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40035.jpg
11.08425,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40100.jpg
13.5901,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40103.jpg
13.71457,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40242.jpg
18.7567,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40302.jpg
17.83059,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40479.jpg
8.862169,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40579.jpg
17.46726,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40593.jpg
16.49739,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40668.jpg
24.71519,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40717.jpg
25.23543,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40775.jpg
12.74772,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40882.jpg
9.278295,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40913.jpg
14.57543,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\40979.jpg
16.78854,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41022.jpg
9.446632,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41105.jpg
17.81355,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41126.jpg
11.39139,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41249.jpg
24.7597,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41392.jpg
12.67842,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41500.jpg
16.16706,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41547.jpg
11.08576,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41581.jpg
14.84229,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41610.jpg
18.54698,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41632.jpg
14.70059,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41670.jpg
17.03533,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41735.jpg
15.26325,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41875.jpg
9.95749,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41923.jpg
14.86506,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\41939.jpg
14.79745,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42001.jpg
12.15003,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42022.jpg
16.33205,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42034.jpg
16.68918,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42053.jpg
19.64914,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42138.jpg
12.58158,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42166.jpg
13.00943,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42173.jpg
9.70661,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42205.jpg
18.00639,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42221.jpg
10.24621,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42331.jpg
9.175165,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42475.jpg
14.83403,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42586.jpg
10.82479,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42601.jpg
12.8815,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42635.jpg
12.37066,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\42933.jpg
12.45426,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43199.jpg
8.692574,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43313.jpg
9.89527,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43330.jpg
16.13185,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43414.jpg
9.373057,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43466.jpg
12.14505,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43478.jpg
10.68832,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43514.jpg
8.614677,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43519.jpg
16.88181,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43541.jpg
10.12745,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43621.jpg
18.82405,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43666.jpg
16.47819,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43700.jpg
16.29263,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43704.jpg
13.80489,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43753.jpg
10.78435,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43804.jpg
19.64245,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43920.jpg
12.69633,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43936.jpg
9.967634,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\43995.jpg
16.76516,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44035.jpg
14.19988,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44163.jpg
13.29958,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44212.jpg
17.99101,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44278.jpg
19.49314,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44323.jpg
19.02122,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44372.jpg
8.166728,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44374.jpg
20.16536,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44509.jpg
28.61767,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44520.jpg
17.1028,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44529.jpg
15.54291,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44575.jpg
13.91891,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44615.jpg
15.94309,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44712.jpg
13.16718,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44780.jpg
17.67574,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44793.jpg
7.805633,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44823.jpg
11.79052,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\20\44884.jpg
9.68502,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\30950.jpg
14.73823,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\30976.jpg
15.90114,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31009.jpg
8.799294,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31023.jpg
13.38639,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31183.jpg
14.95006,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31212.jpg
11.48845,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31265.jpg
11.88783,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31317.jpg
10.15782,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31484.jpg
17.03913,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31486.jpg
13.43579,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31558.jpg
16.26986,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31611.jpg
11.27034,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31694.jpg
16.47498,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31717.jpg
20.03979,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31911.jpg
10.31322,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31916.jpg
13.2127,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31936.jpg
7.854231,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\31956.jpg
18.73176,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\32004.jpg
9.49294,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\32036.jpg
8.069562,C:\Users\Lenovo\PycharmProjects\avantgarde\data\images\20-50\test\21\32045.jpg
